distance year jd planet number
2.150770999999999933e-01 2.316735999999999876e+03 2.567229974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.123134999999999883e-01 2.316739000000000033e+03 2.567230974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.097980999999999874e-01 2.316742000000000189e+03 2.567231974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.075401000000000051e-01 2.316744000000000142e+03 2.567232974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.046198999999999935e-01 2.316748999999999796e+03 2.567234494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.030466999999999966e-01 2.316751000000000204e+03 2.567235494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.017576000000000092e-01 2.316753999999999905e+03 2.567236494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.007579999999999920e-01 2.316757000000000062e+03 2.567237494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.000523999999999913e-01 2.316760000000000218e+03 2.567238494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.996437000000000073e-01 2.316762000000000171e+03 2.567239494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.995338999999999863e-01 2.316764999999999873e+03 2.567240494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.997232999999999925e-01 2.316768000000000029e+03 2.567241494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.002112000000000058e-01 2.316769999999999982e+03 2.567242494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.009952999999999879e-01 2.316773000000000138e+03 2.567243494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.020720000000000016e-01 2.316775999999999840e+03 2.567244494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.034366999999999981e-01 2.316778999999999996e+03 2.567245494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.050836000000000048e-01 2.316780999999999949e+03 2.567246494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.070056999999999869e-01 2.316784000000000106e+03 2.567247494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.091955000000000064e-01 2.316786999999999807e+03 2.567248494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.116444000000000103e-01 2.316789999999999964e+03 2.567249494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.143435999999999952e-01 2.316791999999999916e+03 2.567250494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.172834999999999905e-01 2.316795000000000073e+03 2.567251494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.204543999999999948e-01 2.316797999999999774e+03 2.567252494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.238462999999999981e-01 2.316800999999999931e+03 2.567253494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.274492999999999931e-01 2.316802999999999884e+03 2.567254494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.312531999999999921e-01 2.316806000000000040e+03 2.567255494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.352482999999999935e-01 2.316809000000000196e+03 2.567256494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.394247999999999932e-01 2.316811000000000149e+03 2.567257494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.437732999999999983e-01 2.316813999999999851e+03 2.567258494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.482844999999999913e-01 2.316817000000000007e+03 2.567259494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.529496999999999995e-01 2.316820000000000164e+03 2.567260494899999816e+06 5.000000000000000000e+00 1.000000000000000000e+00
