X Y Z velX velY velZ r year
2.092168066750166033e-01 1.567291513181230611e+00 6.370083597440419076e-01 -2.525469425440752744e-03 1.821535947051973123e-02 3.210345693718249594e-04 1.704685897715176646e+00 2.827885999999999967e+03
1.278269265818987588e-01 1.567466161641988265e+00 5.108812817314822841e-01 -2.542018567086893558e-03 1.821392641975182539e-02 3.210338500738419668e-04 1.653568739144413158e+00 2.827985999999999876e+03
5.042462682326592088e-02 1.559963639965161963e+00 3.893839761162642410e-01 -2.558526362969380449e-03 1.821224061967516641e-02 3.210285487044774199e-04 1.608617133397420407e+00 2.828085000000000036e+03
-2.326580044449092291e-02 1.545401942094265957e+00 2.722369323255645068e-01 -2.574998512004888791e-03 1.821033220486737575e-02 3.210195766679949016e-04 1.569369748472642767e+00 2.828184999999999945e+03
-9.348598243319893031e-02 1.524291907324716755e+00 1.591719380697479425e-01 -2.591442888690705885e-03 1.820825592125320178e-02 3.210077989294432164e-04 1.535428654648597790e+00 2.828284999999999854e+03
-1.604618842048914085e-01 1.497042467644573716e+00 4.993054749978721035e-02 -2.607877705596224876e-03 1.820612223982731592e-02 3.209947551258651136e-04 1.506445228273357140e+00 2.828385000000000218e+03
-2.243834642733344986e-01 1.463980938128844667e+00 -5.573129168681469070e-02 -2.624317134812293850e-03 1.820402046849990338e-02 3.209820477180151243e-04 1.482124860838990088e+00 2.828485000000000127e+03
-2.854204744426066531e-01 1.425383040377915966e+00 -1.580281291816821032e-01 -2.640745803090518463e-03 1.820186277199548411e-02 3.209682533457816167e-04 1.462242985498886316e+00 2.828583999999999833e+03
-3.437296452435364413e-01 1.381445800828543957e+00 -2.571626512522046659e-01 -2.657163604093278151e-03 1.819964840203215986e-02 3.209533275592965965e-04 1.446608170461209486e+00 2.828684000000000196e+03
-3.994451198971676886e-01 1.332310109121383368e+00 -3.533141510921846140e-01 -2.673565630825149204e-03 1.819735494589543034e-02 3.209367422085069666e-04 1.435074046883535015e+00 2.828784000000000106e+03
-4.526872720170823650e-01 1.278047311153811316e+00 -4.466502845967256774e-01 -2.689961731040193919e-03 1.819503655214977159e-02 3.209185444080670815e-04 1.427524841298424052e+00 2.828884000000000015e+03
-5.035516544960372265e-01 1.218674139519614785e+00 -5.373233754354574954e-01 -2.706355329761706788e-03 1.819269623980705394e-02 3.208996609175495079e-04 1.423884593943246513e+00 2.828983000000000175e+03
-5.521119955999321816e-01 1.154167206281191849e+00 -6.254552044794197130e-01 -2.722738714587518219e-03 1.819028594889121955e-02 3.208793832528314231e-04 1.424122118552571203e+00 2.829083000000000084e+03
-5.984210033883332613e-01 1.084454573652160025e+00 -7.111419539072745266e-01 -2.739115089352673130e-03 1.818783081016674824e-02 3.208592293280691202e-04 1.428240980443581831e+00 2.829184000000000196e+03
-6.425097264877384085e-01 1.009414654279975787e+00 -7.944521471643413157e-01 -2.755478809444657142e-03 1.818530144190025344e-02 3.208388823439676314e-04 1.436276751549137698e+00 2.829284000000000106e+03
-6.843839792543354728e-01 9.288757473458483238e-01 -8.754330799734980628e-01 -2.771836425256785693e-03 1.818274670174977251e-02 3.208188471305654607e-04 1.448300611951535366e+00 2.829384000000000015e+03
-7.240259873799398394e-01 8.426184568143370024e-01 -9.541046977018208253e-01 -2.788195417849670486e-03 1.818021305548270239e-02 3.208002450855543274e-04 1.464423186221235129e+00 2.829483999999999924e+03
-7.613855003923764020e-01 7.503817772049787838e-01 -1.030453086594845136e+00 -2.804562989180757297e-03 1.817775035257795935e-02 3.207849353831750605e-04 1.484794347861647656e+00 2.829583999999999833e+03
-7.963963623735944575e-01 6.518595964924012165e-01 -1.104430549172005893e+00 -2.820934470317345601e-03 1.817531297853584513e-02 3.207720095511607363e-04 1.509614168417052316e+00 2.829684000000000196e+03
-8.289602963649456147e-01 5.466871271465000293e-01 -1.175947774188933703e+00 -2.837305018254528566e-03 1.817286604155800636e-02 3.207601050394488849e-04 1.539121553210486271e+00 2.829784000000000106e+03
-8.589408533604540041e-01 4.344478996702072493e-01 -1.244869782562640470e+00 -2.853671452159352393e-03 1.817038903573446260e-02 3.207481372159501224e-04 1.573602599971477778e+00 2.829884000000000015e+03
-8.861610486100726103e-01 3.146576103633600963e-01 -1.311013636326753717e+00 -2.870035749863413931e-03 1.816789220514130818e-02 3.207356602767331890e-04 1.613396284385203883e+00 2.829983999999999924e+03
-9.103778013366502497e-01 1.867881376588494680e-01 -1.374129137787237775e+00 -2.886409372782025671e-03 1.816546227830228774e-02 3.207261378006382151e-04 1.658887710742505961e+00 2.830083999999999833e+03
-9.313116063429478508e-01 5.025858255129508206e-02 -1.433895418724235871e+00 -2.902788281645106005e-03 1.816307258300505281e-02 3.207187222775181781e-04 1.710533047055069034e+00 2.830184000000000196e+03
