distance year jd planet number
2.484472000000000069e-01 1.747433999999999969e+03 2.359296894499999937e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.597449000000000008e-01 1.747421000000000049e+03 2.359292066899999976e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.761604999999999754e-01 1.747406999999999925e+03 2.359287052800000180e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.975960999999999745e-01 1.747393000000000029e+03 2.359281802800000180e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.944028000000000200e-01 1.688207000000000107e+03 2.337665100399999879e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.762744999999999784e-01 1.688190000000000055e+03 2.337659193700000178e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.648843000000000170e-01 1.688174999999999955e+03 2.337653545200000051e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.601662000000000141e-01 1.688160000000000082e+03 2.337648175600000191e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.615824999999999956e-01 1.688145999999999958e+03 2.337642984300000127e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.687512000000000234e-01 1.688132000000000062e+03 2.337637808300000150e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.813937000000000244e-01 1.688117999999999938e+03 2.337632572699999902e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.995438999999999741e-01 1.688103000000000065e+03 2.337627128000000026e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.989631999999999845e-01 1.510236000000000104e+03 2.272671694199999794e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.846086999999999922e-01 1.510220000000000027e+03 2.272665698599999771e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.776018000000000097e-01 1.510203999999999951e+03 2.272660043200000189e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.772807999999999939e-01 1.510189000000000078e+03 2.272654647799999919e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.830334999999999934e-01 1.510174999999999955e+03 2.272649346899999771e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.948370000000000157e-01 1.510160000000000082e+03 2.272643894799999893e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.901527999999999885e-01 1.427214999999999918e+03 2.242347938699999824e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.787920999999999871e-01 1.427199000000000069e+03 2.242342111500000115e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.744461999999999735e-01 1.427183999999999969e+03 2.242336558600000106e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.765637000000000234e-01 1.427169000000000096e+03 2.242331165399999823e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.847573999999999939e-01 1.427153999999999996e+03 2.242325781799999997e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.987602999999999787e-01 1.427138999999999896e+03 2.242320316300000064e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.931892999999999860e-01 1.332339999999999918e+03 2.207694931499999948e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.916933999999999916e-01 1.332324000000000069e+03 2.207689162099999841e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.967160999999999826e-01 1.332307999999999993e+03 2.207683354700000025e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.988024000000000235e-01 1.996511999999999944e+03 2.450270811400000006e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.670004000000000266e-01 1.996494999999999891e+03 2.450264660600000061e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.421580999999999873e-01 1.996480000000000018e+03 2.450259076499999966e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.241923000000000110e-01 1.996465999999999894e+03 2.450254047699999996e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.122774000000000050e-01 1.996452999999999975e+03 2.450249397700000089e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.059650000000000092e-01 1.996441000000000031e+03 2.450245062899999786e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.046756000000000131e-01 1.996430000000000064e+03 2.450240917100000195e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.080337999999999909e-01 1.996419000000000096e+03 2.450236834499999881e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.157891999999999866e-01 1.996407999999999902e+03 2.450232743499999866e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.278505000000000114e-01 1.996395999999999958e+03 2.450228542599999812e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.441907000000000105e-01 1.996384000000000015e+03 2.450224159800000023e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.648993000000000042e-01 1.996372000000000071e+03 2.450219515999999829e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.903132999999999964e-01 1.996357999999999947e+03 2.450214503699999768e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.976382000000000194e-01 1.984704999999999927e+03 2.445958531200000085e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.598023999999999889e-01 1.984688000000000102e+03 2.445952432500000112e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.293373999999999968e-01 1.984673999999999978e+03 2.445947096299999859e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.054664999999999964e-01 1.984661000000000058e+03 2.445942390399999917e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.874792999999999876e-01 1.984648999999999887e+03 2.445938191199999768e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.746995000000000076e-01 1.984638999999999896e+03 2.445934369799999986e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.666816999999999882e-01 1.984628999999999905e+03 2.445930853099999949e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.629029999999999923e-01 1.984619999999999891e+03 2.445927516900000162e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.630402999999999991e-01 1.984611000000000104e+03 2.445924307599999942e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.668328000000000033e-01 1.984603000000000065e+03 2.445921120300000068e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.740871999999999975e-01 1.984594000000000051e+03 2.445917911799999885e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.847976000000000063e-01 1.984585000000000036e+03 2.445914588899999857e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.989136999999999988e-01 1.984575000000000045e+03 2.445911112199999858e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.166157999999999972e-01 1.984565000000000055e+03 2.445907399499999825e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.381119999999999903e-01 1.984554000000000087e+03 2.445903385600000154e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.632999999999999785e-01 1.984542999999999893e+03 2.445899066099999938e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.930863000000000218e-01 1.984528999999999996e+03 2.445894271900000051e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.692634999999999890e-01 1.901656999999999925e+03 2.415625267599999905e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.321985000000000021e-01 1.901642000000000053e+03 2.415619758100000210e+06 5.000000000000000000e+00 8.900000000000000000e+01
2.018003999999999909e-01 1.901628999999999905e+03 2.415615015699999873e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.769651999999999892e-01 1.901616999999999962e+03 2.415610865199999884e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.571886999999999868e-01 1.901606999999999971e+03 2.415607219399999827e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.420294000000000001e-01 1.901598999999999933e+03 2.415604006300000008e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.308296999999999932e-01 1.901590999999999894e+03 2.415601103999999817e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.232609000000000066e-01 1.901583000000000084e+03 2.415598455999999773e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.189286999999999983e-01 1.901576999999999998e+03 2.415595981500000227e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.175482999999999945e-01 1.901569999999999936e+03 2.415593620800000150e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.188912000000000024e-01 1.901564000000000078e+03 2.415591314699999988e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.228024999999999950e-01 1.901557999999999993e+03 2.415589010199999902e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.291935999999999918e-01 1.901550999999999931e+03 2.415586659200000111e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.380736999999999937e-01 1.901544000000000096e+03 2.415584207299999893e+06 5.000000000000000000e+00 8.900000000000000000e+01
1.494315999999999978e-01 1.901537000000000035e+03 2.415581623800000176e+06 5.000000000000000000e+00 8.900000000000000000e+01
