X Y Z year
4.714387900000000187e+00 1.472120600000000001e+00 -1.108492999999999978e-01 2.675574399999999969e+03
4.712024099999999827e+00 1.479697199999999935e+00 -1.108316000000000023e-01 2.675577099999999973e+03
4.709648800000000080e+00 1.487270099999999928e+00 -1.108137000000000011e-01 2.675579900000000180e+03
4.707261899999999777e+00 1.494839500000000099e+00 -1.107954000000000022e-01 2.675582600000000184e+03
4.704863399999999807e+00 1.502405100000000049e+00 -1.107770000000000005e-01 2.675585399999999936e+03
4.702453399999999561e+00 1.509967099999999895e+00 -1.107582000000000011e-01 2.675588099999999940e+03
4.700031799999999649e+00 1.517525400000000024e+00 -1.107391999999999960e-01 2.675590799999999945e+03
4.697598700000000349e+00 1.525079899999999933e+00 -1.107198999999999961e-01 2.675593600000000151e+03
4.695153999999999606e+00 1.532630699999999901e+00 -1.107003000000000015e-01 2.675596300000000156e+03
4.692697800000000363e+00 1.540177700000000094e+00 -1.106805000000000011e-01 2.675599099999999908e+03
4.690230099999999958e+00 1.547720999999999902e+00 -1.106604000000000060e-01 2.675601799999999912e+03
4.687750900000000165e+00 1.555260400000000098e+00 -1.106400000000000022e-01 2.675604499999999916e+03
4.685260099999999817e+00 1.562796099999999910e+00 -1.106193000000000037e-01 2.675607300000000123e+03
4.682757900000000362e+00 1.570327900000000110e+00 -1.105983999999999995e-01 2.675610000000000127e+03
4.680244100000000351e+00 1.577855800000000031e+00 -1.105772000000000005e-01 2.675612799999999879e+03
4.677718900000000346e+00 1.585379899999999953e+00 -1.105557000000000067e-01 2.675615499999999884e+03
4.675182099999999785e+00 1.592900100000000041e+00 -1.105339999999999934e-01 2.675618199999999888e+03
4.672633900000000118e+00 1.600416400000000072e+00 -1.105119999999999991e-01 2.675621000000000095e+03
4.670074200000000175e+00 1.607928699999999989e+00 -1.104896999999999962e-01 2.675623700000000099e+03
4.667503100000000238e+00 1.615437100000000070e+00 -1.104672000000000015e-01 2.675626499999999851e+03
4.664920399999999745e+00 1.622941500000000037e+00 -1.104442999999999953e-01 2.675629199999999855e+03
4.662326400000000426e+00 1.630441999999999947e+00 -1.104211999999999971e-01 2.675631899999999860e+03
4.659720799999999663e+00 1.637938399999999906e+00 -1.103978999999999933e-01 2.675634700000000066e+03
4.657103900000000074e+00 1.645430900000000030e+00 -1.103742000000000056e-01 2.675637400000000071e+03
4.654475500000000210e+00 1.652919299999999980e+00 -1.103502999999999984e-01 2.675640199999999822e+03
4.651835600000000071e+00 1.660403599999999980e+00 -1.103261999999999993e-01 2.675642899999999827e+03
4.649184400000000217e+00 1.667883900000000086e+00 -1.103017000000000025e-01 2.675645599999999831e+03
4.646521700000000088e+00 1.675359999999999960e+00 -1.102770000000000000e-01 2.675648400000000038e+03
4.643847599999999964e+00 1.682832099999999942e+00 -1.102520000000000028e-01 2.675651100000000042e+03
4.641162099999999846e+00 1.690299999999999914e+00 -1.102266999999999969e-01 2.675653800000000047e+03
4.638465199999999733e+00 1.697763799999999934e+00 -1.102011999999999992e-01 2.675656599999999798e+03
4.635756899999999625e+00 1.705223399999999945e+00 -1.101754000000000067e-01 2.675659299999999803e+03
4.633037200000000411e+00 1.712678799999999946e+00 -1.101493000000000055e-01 2.675662100000000009e+03
4.630306199999999706e+00 1.720129999999999937e+00 -1.101229999999999987e-01 2.675664800000000014e+03
4.627563799999999894e+00 1.727576999999999918e+00 -1.100963999999999970e-01 2.675667500000000018e+03
4.624810000000000088e+00 1.735019799999999890e+00 -1.100695000000000007e-01 2.675670300000000225e+03
4.622044899999999679e+00 1.742458300000000015e+00 -1.100422999999999957e-01 2.675672999999999774e+03
4.619268400000000163e+00 1.749892500000000073e+00 -1.100148999999999988e-01 2.675675799999999981e+03
4.616480600000000045e+00 1.757322499999999899e+00 -1.099871999999999933e-01 2.675678499999999985e+03
4.613681399999999933e+00 1.764748100000000042e+00 -1.099592000000000069e-01 2.675681199999999990e+03
4.610870900000000105e+00 1.772169399999999895e+00 -1.099310000000000009e-01 2.675684000000000196e+03
4.608049099999999676e+00 1.779586300000000065e+00 -1.099025000000000002e-01 2.675686700000000201e+03
4.605216000000000420e+00 1.786998899999999946e+00 -1.098737000000000047e-01 2.675689499999999953e+03
4.602371599999999674e+00 1.794407099999999922e+00 -1.098447000000000034e-01 2.675692199999999957e+03
4.599515900000000101e+00 1.801810899999999993e+00 -1.098153999999999936e-01 2.675694899999999961e+03
4.596648899999999927e+00 1.809210200000000102e+00 -1.097858000000000028e-01 2.675697700000000168e+03
4.593770600000000037e+00 1.816605100000000084e+00 -1.097559000000000035e-01 2.675700400000000172e+03
4.590881000000000434e+00 1.823995599999999939e+00 -1.097257999999999983e-01 2.675703199999999924e+03
4.587980100000000228e+00 1.831381600000000054e+00 -1.096953999999999985e-01 2.675705899999999929e+03
4.585067999999999699e+00 1.838763099999999984e+00 -1.096648000000000067e-01 2.675708599999999933e+03
4.582144600000000345e+00 1.846140099999999951e+00 -1.096338000000000035e-01 2.675711400000000140e+03
4.579209999999999781e+00 1.853512499999999896e+00 -1.096025999999999945e-01 2.675714100000000144e+03
4.576264199999999782e+00 1.860880400000000101e+00 -1.095711999999999936e-01 2.675716899999999896e+03
4.573307100000000069e+00 1.868243799999999899e+00 -1.095393999999999951e-01 2.675719599999999900e+03
4.570338800000000035e+00 1.875602500000000061e+00 -1.095074000000000047e-01 2.675722299999999905e+03
4.567359200000000286e+00 1.882956700000000039e+00 -1.094751999999999947e-01 2.675725100000000111e+03
4.564368499999999607e+00 1.890306199999999937e+00 -1.094426000000000010e-01 2.675727800000000116e+03
4.561366500000000102e+00 1.897651100000000035e+00 -1.094098000000000015e-01 2.675730599999999868e+03
4.558353399999999667e+00 1.904991300000000054e+00 -1.093766999999999934e-01 2.675733299999999872e+03
4.555329000000000406e+00 1.912326900000000052e+00 -1.093433999999999934e-01 2.675735999999999876e+03
4.552293500000000215e+00 1.919657699999999911e+00 -1.093097999999999986e-01 2.675738800000000083e+03
4.549246899999999982e+00 1.926983899999999972e+00 -1.092758999999999953e-01 2.675741500000000087e+03
4.546189000000000036e+00 1.934305299999999894e+00 -1.092416999999999971e-01 2.675744299999999839e+03
4.543120000000000047e+00 1.941621999999999959e+00 -1.092072999999999933e-01 2.675746999999999844e+03
4.540039900000000017e+00 1.948933900000000108e+00 -1.091725999999999946e-01 2.675749699999999848e+03
4.536948599999999665e+00 1.956241099999999955e+00 -1.091377000000000042e-01 2.675752500000000055e+03
4.533846099999999879e+00 1.963543400000000050e+00 -1.091025000000000050e-01 2.675755200000000059e+03
4.530732600000000332e+00 1.970840900000000007e+00 -1.090669999999999973e-01 2.675757999999999811e+03
4.527607899999999574e+00 1.978133600000000047e+00 -1.090311999999999948e-01 2.675760699999999815e+03
4.524472099999999664e+00 1.985421399999999892e+00 -1.089952000000000004e-01 2.675763399999999820e+03
4.521325299999999991e+00 1.992704400000000042e+00 -1.089588999999999974e-01 2.675766200000000026e+03
4.518167299999999997e+00 1.999982499999999996e+00 -1.089222999999999997e-01 2.675768900000000031e+03
4.514998300000000242e+00 2.007255699999999976e+00 -1.088854999999999962e-01 2.675771699999999782e+03
4.511818100000000165e+00 2.014523899999999923e+00 -1.088483999999999979e-01 2.675774399999999787e+03
4.508626900000000326e+00 2.021787199999999896e+00 -1.088110999999999939e-01 2.675777099999999791e+03
4.505424699999999838e+00 2.029045599999999894e+00 -1.087734000000000062e-01 2.675779899999999998e+03
4.502211400000000197e+00 2.036298899999999801e+00 -1.087354999999999988e-01 2.675782600000000002e+03
4.498986999999999625e+00 2.043547300000000178e+00 -1.086973999999999996e-01 2.675785400000000209e+03
4.495751600000000181e+00 2.050790699999999855e+00 -1.086590000000000056e-01 2.675788100000000213e+03
4.492505200000000087e+00 2.058028999999999886e+00 -1.086203000000000030e-01 2.675790800000000218e+03
4.489247800000000233e+00 2.065262300000000106e+00 -1.085813000000000056e-01 2.675793599999999969e+03
4.485979300000000336e+00 2.072490499999999791e+00 -1.085421000000000025e-01 2.675796299999999974e+03
4.482699900000000071e+00 2.079713700000000109e+00 -1.085026000000000046e-01 2.675799100000000180e+03
4.479409399999999764e+00 2.086931700000000056e+00 -1.084627999999999981e-01 2.675801800000000185e+03
4.476107999999999976e+00 2.094144599999999912e+00 -1.084227999999999997e-01 2.675804500000000189e+03
4.472795600000000427e+00 2.101352400000000120e+00 -1.083825000000000066e-01 2.675807299999999941e+03
4.469472200000000228e+00 2.108554999999999957e+00 -1.083419999999999939e-01 2.675809999999999945e+03
