X Y Z year
2.257186599999999821e+00 -4.304882499999999723e+00 2.912076700000000073e+00 2.682941499999999905e+03
2.258467000000000002e+00 -4.301056400000000224e+00 2.915419099999999819e+00 2.682944300000000112e+03
2.259743700000000022e+00 -4.297223400000000026e+00 2.918756800000000151e+00 2.682947000000000116e+03
2.261016800000000160e+00 -4.293383399999999739e+00 2.922089699999999901e+00 2.682949700000000121e+03
2.262286099999999855e+00 -4.289536299999999969e+00 2.925417899999999793e+00 2.682952499999999873e+03
2.263551800000000114e+00 -4.285682300000000389e+00 2.928741299999999992e+00 2.682955199999999877e+03
2.264813800000000210e+00 -4.281821299999999830e+00 2.932059900000000052e+00 2.682958000000000084e+03
2.266072100000000145e+00 -4.277953300000000070e+00 2.935373699999999975e+00 2.682960700000000088e+03
2.267326699999999917e+00 -4.274078300000000219e+00 2.938682800000000039e+00 2.682963400000000092e+03
2.268577599999999972e+00 -4.270196399999999670e+00 2.941987000000000130e+00 2.682966199999999844e+03
2.269824799999999865e+00 -4.266307399999999639e+00 2.945286400000000082e+00 2.682968899999999849e+03
2.271068300000000040e+00 -4.262411499999999798e+00 2.948581100000000177e+00 2.682971700000000055e+03
2.272308100000000053e+00 -4.258508599999999866e+00 2.951870899999999853e+00 2.682974400000000060e+03
2.273544100000000068e+00 -4.254598800000000125e+00 2.955155799999999999e+00 2.682977100000000064e+03
2.274776500000000201e+00 -4.250682000000000293e+00 2.958435999999999844e+00 2.682979899999999816e+03
2.276005099999999892e+00 -4.246758200000000372e+00 2.961711300000000158e+00 2.682982599999999820e+03
2.277229999999999865e+00 -4.242827499999999752e+00 2.964981700000000053e+00 2.682985400000000027e+03
2.278451200000000121e+00 -4.238889799999999930e+00 2.968247299999999811e+00 2.682988100000000031e+03
2.279668700000000214e+00 -4.234945200000000298e+00 2.971508099999999875e+00 2.682990800000000036e+03
2.280882399999999866e+00 -4.230993699999999968e+00 2.974763900000000127e+00 2.682993599999999788e+03
2.282092399999999799e+00 -4.227035200000000437e+00 2.978014899999999798e+00 2.682996299999999792e+03
2.283298600000000178e+00 -4.223069800000000207e+00 2.981260999999999939e+00 2.682999099999999999e+03
2.284501099999999951e+00 -4.219097399999999887e+00 2.984502200000000105e+00 2.683001800000000003e+03
2.285699800000000170e+00 -4.215118099999999757e+00 2.987738499999999853e+00 2.683004500000000007e+03
2.286894799999999783e+00 -4.211131899999999817e+00 2.990969900000000070e+00 2.683007300000000214e+03
2.288086100000000123e+00 -4.207138699999999787e+00 2.994196399999999869e+00 2.683010000000000218e+03
2.289273600000000020e+00 -4.203138700000000227e+00 2.997418000000000138e+00 2.683012799999999970e+03
2.290457299999999918e+00 -4.199131699999999690e+00 3.000634600000000152e+00 2.683015499999999975e+03
2.291637199999999819e+00 -4.195117800000000230e+00 3.003846300000000191e+00 2.683018199999999979e+03
2.292813400000000001e+00 -4.191097100000000353e+00 3.007052999999999976e+00 2.683021000000000186e+03
2.293985800000000186e+00 -4.187069400000000385e+00 3.010254799999999786e+00 2.683023700000000190e+03
2.295154399999999928e+00 -4.183034799999999720e+00 3.013451700000000066e+00 2.683026499999999942e+03
2.296319299999999952e+00 -4.178993300000000133e+00 3.016643600000000092e+00 2.683029199999999946e+03
2.297480399999999978e+00 -4.174944899999999848e+00 3.019830499999999862e+00 2.683031899999999951e+03
2.298637600000000170e+00 -4.170889700000000033e+00 3.023012399999999822e+00 2.683034700000000157e+03
2.299791100000000199e+00 -4.166827500000000128e+00 3.026189299999999971e+00 2.683037400000000162e+03
2.300940799999999786e+00 -4.162758499999999806e+00 3.029361300000000146e+00 2.683040199999999913e+03
2.302086699999999819e+00 -4.158682599999999674e+00 3.032528199999999785e+00 2.683042899999999918e+03
2.303228799999999854e+00 -4.154599799999999732e+00 3.035690100000000058e+00 2.683045599999999922e+03
2.304367099999999891e+00 -4.150510200000000260e+00 3.038847000000000076e+00 2.683048400000000129e+03
2.305501599999999929e+00 -4.146413700000000091e+00 3.041998899999999839e+00 2.683051100000000133e+03
2.306632200000000132e+00 -4.142310300000000112e+00 3.045145799999999792e+00 2.683053800000000138e+03
2.307759100000000174e+00 -4.138200000000000323e+00 3.048287600000000097e+00 2.683056599999999889e+03
2.308882099999999937e+00 -4.134083000000000396e+00 3.051424299999999867e+00 2.683059299999999894e+03
2.310001300000000146e+00 -4.129959000000000380e+00 3.054555999999999827e+00 2.683062100000000100e+03
2.311116699999999913e+00 -4.125828199999999946e+00 3.057682699999999976e+00 2.683064800000000105e+03
2.312228199999999845e+00 -4.121690599999999982e+00 3.060804200000000197e+00 2.683067500000000109e+03
2.313335899999999778e+00 -4.117546100000000209e+00 3.063920700000000163e+00 2.683070299999999861e+03
2.314439800000000158e+00 -4.113394800000000018e+00 3.067032100000000039e+00 2.683072999999999865e+03
2.315539799999999815e+00 -4.109236700000000297e+00 3.070138399999999823e+00 2.683075800000000072e+03
2.316635999999999918e+00 -4.105071699999999879e+00 3.073239599999999960e+00 2.683078500000000076e+03
2.317728300000000186e+00 -4.100899899999999931e+00 3.076335700000000006e+00 2.683081200000000081e+03
2.318816800000000011e+00 -4.096721299999999566e+00 3.079426699999999961e+00 2.683083999999999833e+03
2.319901400000000002e+00 -4.092535800000000279e+00 3.082512599999999825e+00 2.683086699999999837e+03
2.320982199999999995e+00 -4.088343599999999967e+00 3.085593300000000205e+00 2.683089500000000044e+03
2.322058999999999873e+00 -4.084144499999999844e+00 3.088668900000000050e+00 2.683092200000000048e+03
2.323132100000000033e+00 -4.079938699999999585e+00 3.091739299999999968e+00 2.683094900000000052e+03
2.324201200000000078e+00 -4.075726000000000404e+00 3.094804599999999795e+00 2.683097699999999804e+03
2.325266500000000125e+00 -4.071506499999999917e+00 3.097864700000000138e+00 2.683100399999999809e+03
2.326327899999999893e+00 -4.067280199999999901e+00 3.100919699999999946e+00 2.683103200000000015e+03
2.327385399999999827e+00 -4.063047199999999748e+00 3.103969499999999826e+00 2.683105900000000020e+03
2.328438999999999925e+00 -4.058807299999999785e+00 3.107014099999999779e+00 2.683108600000000024e+03
2.329488800000000026e+00 -4.054560699999999684e+00 3.110053499999999804e+00 2.683111399999999776e+03
2.330534600000000012e+00 -4.050307300000000055e+00 3.113087699999999902e+00 2.683114099999999780e+03
2.331576599999999999e+00 -4.046047100000000007e+00 3.116116700000000073e+00 2.683116899999999987e+03
2.332614599999999871e+00 -4.041780100000000431e+00 3.119140400000000035e+00 2.683119599999999991e+03
2.333648699999999909e+00 -4.037506399999999829e+00 3.122158999999999907e+00 2.683122299999999996e+03
2.334678900000000112e+00 -4.033225800000000305e+00 3.125172300000000014e+00 2.683125100000000202e+03
2.335705299999999873e+00 -4.028938600000000037e+00 3.128180400000000194e+00 2.683127800000000207e+03
2.336727600000000127e+00 -4.024644499999999958e+00 3.131183200000000166e+00 2.683130599999999959e+03
2.337746099999999938e+00 -4.020343800000000023e+00 3.134180800000000211e+00 2.683133299999999963e+03
2.338760699999999915e+00 -4.016036200000000278e+00 3.137173100000000048e+00 2.683135999999999967e+03
2.339771300000000220e+00 -4.011721900000000396e+00 3.140160199999999957e+00 2.683138800000000174e+03
2.340777999999999803e+00 -4.007400900000000377e+00 3.143141899999999822e+00 2.683141500000000178e+03
2.341780700000000159e+00 -4.003073099999999940e+00 3.146118400000000204e+00 2.683144299999999930e+03
2.342779499999999793e+00 -3.998738599999999810e+00 3.149089599999999933e+00 2.683146999999999935e+03
2.343774400000000036e+00 -3.994397399999999987e+00 3.152055499999999899e+00 2.683149699999999939e+03
2.344765300000000163e+00 -3.990049400000000190e+00 3.155015999999999821e+00 2.683152500000000146e+03
2.345752300000000012e+00 -3.985694699999999813e+00 3.157971299999999815e+00 2.683155200000000150e+03
2.346735300000000191e+00 -3.981333300000000186e+00 3.160921200000000209e+00 2.683157999999999902e+03
2.347714299999999810e+00 -3.976965100000000142e+00 3.163865799999999950e+00 2.683160699999999906e+03
2.348689400000000038e+00 -3.972590299999999797e+00 3.166805099999999928e+00 2.683163399999999911e+03
2.349660500000000152e+00 -3.968208699999999922e+00 3.169738999999999862e+00 2.683166200000000117e+03
2.350627699999999987e+00 -3.963820399999999911e+00 3.172667500000000196e+00 2.683168900000000122e+03
2.351590799999999870e+00 -3.959425500000000042e+00 3.175590699999999877e+00 2.683171699999999873e+03
2.352549999999999919e+00 -3.955023800000000200e+00 3.178508499999999959e+00 2.683174399999999878e+03
2.353505300000000133e+00 -3.950615400000000221e+00 3.181420899999999996e+00 2.683177099999999882e+03
2.354456499999999952e+00 -3.946200300000000105e+00 3.184327999999999825e+00 2.683179900000000089e+03
2.355403700000000100e+00 -3.941778600000000132e+00 3.187229600000000218e+00 2.683182600000000093e+03
2.356346900000000133e+00 -3.937350100000000186e+00 3.190125899999999959e+00 2.683185399999999845e+03
2.357286199999999887e+00 -3.932914999999999939e+00 3.193016699999999819e+00 2.683188099999999849e+03
2.358221400000000134e+00 -3.928473199999999999e+00 3.195902100000000079e+00 2.683190799999999854e+03
2.359152700000000102e+00 -3.924024800000000202e+00 3.198782099999999851e+00 2.683193600000000060e+03
2.360079900000000119e+00 -3.919569599999999987e+00 3.201656600000000186e+00 2.683196300000000065e+03
2.361003100000000021e+00 -3.915107799999999916e+00 3.204525700000000032e+00 2.683199099999999817e+03
2.361922299999999808e+00 -3.910639300000000151e+00 3.207389299999999999e+00 2.683201799999999821e+03
2.362837499999999924e+00 -3.906164200000000086e+00 3.210247499999999921e+00 2.683204499999999825e+03
2.363748600000000089e+00 -3.901682399999999884e+00 3.213100199999999962e+00 2.683207300000000032e+03
2.364655700000000138e+00 -3.897193999999999825e+00 3.215947400000000123e+00 2.683210000000000036e+03
