X Y Z velX velY velZ R year
2.375141608163572116e+00 -1.758192808518686423e+00 3.811561703329612527e+00 -9.886191950205180067e-04 6.689419477218950388e-03 1.939325822177939002e-05 4.822918434832337731e+00 2.684246000000000095e+03
2.374149853695766144e+00 -1.751501068932769467e+00 3.811576063214848098e+00 -9.948912060641274847e-04 6.694058152585851199e-03 9.323467292475864920e-06 4.820005768455952300e+00 2.684248999999999796e+03
2.373151822816969680e+00 -1.744804695304705389e+00 3.811580344166119350e+00 -1.001172020548216600e-03 6.698687554345484491e-03 -7.646178814420777348e-07 4.817088095408922577e+00 2.684251999999999953e+03
2.372147506713090159e+00 -1.738103696929689912e+00 3.811574527864622031e+00 -1.007461659771572739e-03 6.703307639275211255e-03 -1.087104645021300456e-05 4.814165414311415425e+00 2.684255000000000109e+03
2.371136896548728501e+00 -1.731398083146256095e+00 3.811558595942314831e+00 -1.013760145083253406e-03 6.707918363897344763e-03 -2.099586773971406570e-05 4.811237723787820997e+00 2.684257000000000062e+03
2.370119983467096958e+00 -1.724687863336568316e+00 3.811532529981737305e+00 -1.020067497883748488e-03 6.712519684473901294e-03 -3.113913125229843260e-05 4.808305022466806022e+00 2.684260000000000218e+03
2.369096758589980922e+00 -1.717973046926654535e+00 3.811496311515844670e+00 -1.026383739626068360e-03 6.717111557001559895e-03 -4.130088666770776254e-05 4.805367308981374208e+00 2.684262999999999920e+03
2.368067213017694961e+00 -1.711253643386669632e+00 3.811449922027815074e+00 -1.032708891816826787e-03 6.721693937206662910e-03 -5.148118384389575863e-05 4.802424581968922190e+00 2.684264999999999873e+03
2.367031337829013538e+00 -1.704529662231194731e+00 3.811393342950891050e+00 -1.039042976017090503e-03 6.726266780540311914e-03 -6.168007281789769994e-05 4.799476840071318584e+00 2.684268000000000029e+03
2.365989124081119055e+00 -1.697801113019489883e+00 3.811326555668177463e+00 -1.045386013843303818e-03 6.730830042173462785e-03 -7.189760380671081363e-05 4.796524081934939510e+00 2.684271000000000186e+03
2.364940562809560554e+00 -1.691068005355784942e+00 3.811249541512476302e+00 -1.051738026968180922e-03 6.735383676991925361e-03 -8.213382720814168744e-05 4.793566306210758299e+00 2.684273999999999887e+03
2.363885645028176441e+00 -1.684330348889573559e+00 3.811162281766098392e+00 -1.058099037121486502e-03 6.739927639591315398e-03 -9.238879360172046890e-05 4.790603511554397897e+00 2.684275999999999840e+03
2.362824361729045197e+00 -1.677588153315908270e+00 3.811064757660689306e+00 -1.064469066090823965e-03 6.744461884271771464e-03 -1.026625537495964163e-04 4.787635696626203696e+00 2.684278999999999996e+03
2.361756703882440522e+00 -1.670841428375674065e+00 3.810956950377034858e+00 -1.070848135722469834e-03 6.748986365032461077e-03 -1.129551585974607718e-04 4.784662860091309255e+00 2.684282000000000153e+03
2.360682662436746515e+00 -1.664090183855908789e+00 3.810838841044887459e+00 -1.077236267921950329e-03 6.753501035565809274e-03 -1.232666592755485638e-04 4.781685000619695813e+00 2.684284999999999854e+03
2.359602228318417705e+00 -1.657334429590150426e+00 3.810710410742770282e+00 -1.083633484654642886e-03 6.758005849251319530e-03 -1.335971070995532403e-04 4.778702116886287321e+00 2.684286999999999807e+03
2.358515392431914215e+00 -1.650574175458669135e+00 3.810571640497808055e+00 -1.090039807946261655e-03 6.762500759148969663e-03 -1.439465535717937041e-04 4.775714207570998404e+00 2.684289999999999964e+03
