a e i Om w M year jd number node
3.841256893189668897e+00 4.874861426345305504e-01 6.129682751877695068e+01 2.784653151339694546e+02 2.080250088324730200e+02 -1.727724075988315064e+02 2.675150999999999840e+03 2.698138654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841256032588054037e+00 4.874866095148408518e-01 6.129688433095042654e+01 2.784653539068807504e+02 2.080248850876703557e+02 -1.726412186792008185e+02 2.675153999999999996e+03 2.698139654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841255160968137350e+00 4.874870825760472259e-01 6.129694143030848608e+01 2.784653929557068750e+02 2.080247616801388233e+02 -1.725100307138641824e+02 2.675157000000000153e+03 2.698140654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841254277963059849e+00 4.874875619289203987e-01 6.129699881480494383e+01 2.784654322799433430e+02 2.080246386229274549e+02 -1.723788437299816962e+02 2.675159000000000106e+03 2.698141654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841253383174070724e+00 4.874880476948066366e-01 6.129705648244733851e+01 2.784654718791157961e+02 2.080245159299724094e+02 -1.722476577567123286e+02 2.675161999999999807e+03 2.698142654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841252476166942653e+00 4.874885400067374142e-01 6.129711443122958769e+01 2.784655117527339030e+02 2.080243936162859484e+02 -1.721164728256051717e+02 2.675164999999999964e+03 2.698143654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841251556468406214e+00 4.874890390104905658e-01 6.129717265904138657e+01 2.784655519002287747e+02 2.080242716981722140e+02 -1.719852889710361978e+02 2.675168000000000120e+03 2.698144654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841250623562750821e+00 4.874895448655423569e-01 6.129723116354879409e+01 2.784655923208699733e+02 2.080241501934702910e+02 -1.718541062306900074e+02 2.675170000000000073e+03 2.698145654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841249676888816467e+00 4.874900577458232687e-01 6.129728994203982495e+01 2.784656330136572251e+02 2.080240291218255777e+02 -1.717229246460835839e+02 2.675172999999999774e+03 2.698146654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841248715837674244e+00 4.874905778401644740e-01 6.129734899122796321e+01 2.784656739771821208e+02 2.080239085049881567e+02 -1.715917442631252925e+02 2.675175999999999931e+03 2.698147654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841247739751400214e+00 4.874911053522839044e-01 6.129740830700595922e+01 2.784657152094534354e+02 2.080237883671340455e+02 -1.714605651326950522e+02 2.675179000000000087e+03 2.698148654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841246747923464433e+00 4.874916405001198383e-01 6.129746788414203706e+01 2.784657567076811802e+02 2.080236687352024489e+02 -1.713293873112245365e+02 2.675181000000000040e+03 2.698149654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
