X Y Z VelX VelY VelZ M year r
-5.403320683133016722e+00 6.042108110924214737e-01 9.351117863886025672e-02 -9.374418714164099633e-04 -7.148096727211803413e-03 4.011257850770494099e-05 1.558331262905603012e+02 2.702064581512758650e+03 5.437801895025641485e+00
-5.414804983922535619e+00 5.099708786300448660e-01 9.402455693505311352e-02 -8.063925235634431020e-04 -7.161593966179281498e-03 3.784079595758071301e-05 1.569265483194018600e+02 2.702097531512758451e+03 5.439579388911411684e+00
-5.424567996739216191e+00 4.155078831333484102e-01 9.450824694176247764e-02 -6.751277444902276884e-04 -7.172801691874948309e-03 3.555766477853629468e-05 1.580206695249742381e+02 2.702130481512758251e+03 5.441278945333833938e+00
-5.432604705306537163e+00 3.208545371733482754e-01 9.496205225302879749e-02 -5.436875187200736767e-04 -7.181716490316986112e-03 3.326388043444624499e-05 1.591154586382697858e+02 2.702163431512758052e+03 5.442899898906057743e+00
-5.438910763354128264e+00 2.260436855875638529e-01 9.538578786930398956e-02 -4.121118842190345786e-04 -7.188335645971431417e-03 3.096014163424210349e-05 1.602108840996394008e+02 2.702196381512757853e+03 5.444441613981257255e+00
-5.443482498749567355e+00 1.311082901044224591e-01 9.577928032112191514e-02 -2.804409201999746686e-04 -7.192657142579344902e-03 2.864715011907904504e-05 1.613069140719145480e+02 2.702229331512757653e+03 5.445903485048718018e+00
-5.446316917219024667e+00 3.608141382128102898e-02 9.614236778598390931e-02 -1.487147349140784179e-04 -7.194679663771007608e-03 2.632561044857942452e-05 1.624035164537399680e+02 2.702262281512757454e+03 5.447284937112521597e+00
-5.447411705650957892e+00 -5.900379445109484727e-02 9.647490019831460317e-02 -1.697345343341909936e-05 -7.194402593466862374e-03 2.399622978621567847e-05 1.635006588931062765e+02 2.702295231512757255e+03 5.448585426052433789e+00
-5.446765234977513970e+00 -1.541141159642542002e-01 9.677673935235021896e-02 1.147427945714396704e-04 -7.191826016065210915e-03 2.165971768390310419e-05 1.645983088010740687e+02 2.702328181512757055e+03 5.449804438966483033e+00
-5.444376562628849392e+00 -2.492162779148320573e-01 9.704775899783042725e-02 2.463938870553972595e-04 -7.186950716416488742e-03 1.931678586586226614e-05 1.656964333656790416e+02 2.702361131512756856e+03 5.450941494494924378e+00
-5.440245434555967208e+00 -3.442769694205844444e-01 9.728784492837158626e-02 3.779397218203570542e-04 -7.179778179584201184e-03 1.696814801182131279e-05 1.667949995660088405e+02 2.702394081512756657e+03 5.451996143125129812e+00
-5.434372286818275555e+00 -4.392628575759663367e-01 9.749689506240856451e-02 5.093402287307168203e-04 -7.170310590392545667e-03 1.461451953962269907e-05 1.678939741864404596e+02 2.702427031512756457e+03 5.452967967477079014e+00
-5.426758246732493518e+00 -5.341406035733721192e-01 9.767481951659946759e-02 6.405553819191928946e-04 -7.158550832760903274e-03 1.225661738729868855e-05 1.689933238310283627e+02 2.702459981512756258e+03 5.453856582569113876e+00
